p=0.125 p_inf=0.1 time series=0,1,9,17
Format is t, #suscepted, #infected, #recovered
0 999 1 0
1 999 1 0
2 998 1 1
3 996 2 2
4 991 4 5
5 986 9 5
6 973 14 13
7 955 27 18
8 929 44 27
9 889 70 41
10 826 110 64
11 747 172 81
12 641 249 110
13 494 350 156
14 355 492 153
15 211 618 171
16 117 745 138
17 65 813 122
18 33 825 142
19 16 795 189
20 14 735 251
21 12 636 352
22 24 496 480
23 37 358 605
24 57 218 725
25 94 130 776
26 148 81 771
27 212 57 731
28 308 53 639
29 441 56 503
30 561 63 376
31 667 81 252
32 700 115 185
33 678 170 152
34 614 241 145
35 493 329 178
36 378 454 168
37 255 566 179
38 159 682 159
39 92 760 148
40 52 793 155
41 32 778 190
42 29 727 244
43 41 642 317
44 44 505 451
45 51 390 559
46 62 267 671
47 89 178 733
48 139 118 743
49 198 83 719
50 272 75 653
51 387 86 527
52 464 108 428
53 543 146 311
54 572 190 238
55 560 250 190
56 509 322 169
57 387 408 205
58 283 538 179
59 174 631 195
60 101 718 181
61 60 753 187
62 48 750 202
63 38 702 260
64 33 640 327
65 41 559 400
66 57 421 522
67 70 312 618
68 106 212 682
69 144 141 715
70 196 106 698
71 260 102 638
72 331 100 569
73 433 110 457
74 510 146 344
75 559 178 263
76 545 229 226
77 472 314 214
78 379 422 199
79 272 519 209
80 170 628 202
81 100 720 180
82 58 754 188
83 41 764 195
84 37 730 233
85 37 649 314
86 47 541 412
87 57 434 509
88 76 315 609
89 104 204 692
90 139 142 719
91 185 97 718
92 255 85 660
93 344 96 560
94 423 115 462
95 496 143 361
96 543 189 268
97 542 253 205
98 496 316 188
99 403 407 190
100 296 512 192
101 195 608 197
102 124 690 186
103 76 733 191
104 45 735 220
105 47 702 251
106 32 637 331
107 39 561 400
108 50 449 501
109 73 342 585
110 93 237 670
111 129 174 697
112 176 136 688
113 233 122 645
114 302 130 568
115 381 137 482
116 461 170 369
117 507 197 296
118 495 256 249
119 463 331 206
120 373 401 226
121 260 505 235
122 184 610 206
123 113 679 208
124 63 717 220
125 45 740 215
126 37 699 264
127 51 632 317
128 61 548 391
129 67 434 499
130 80 323 597
131 108 241 651
132 132 175 693
133 175 128 697
134 235 126 639
135 291 133 576
136 386 161 453
137 457 180 363
138 478 220 302
139 468 281 251
140 417 357 226
141 326 455 219
142 219 548 233
143 134 648 218
144 93 705 202
145 70 727 203
146 50 710 240
147 45 669 286
148 45 598 357
149 60 500 440
150 72 392 536
151 85 280 635
152 109 210 681
153 147 164 689
154 201 143 656
155 268 130 602
156 350 134 516
157 419 150 431
158 490 189 321
